Model,R2 Score,RMSE,MAE
Linear Regression,0.9146402947930155,0.22434986590931968,0.17488333840495152
Decision Tree,0.674556012319047,0.43806392227619023,0.4000000000000001
Random Forest,0.8194832614270021,0.3262556942031811,0.2691199999999994
Gradient Boosting,0.8137908165669584,0.3313598682194233,0.26519315810736366
kNN,0.8013607934117519,0.34224085086383244,0.2752
SVR,0.9065797551215816,0.23470365977979263,0.2046876994976182
Neural Network,0.85991717865603,0.28740333349215,0.23677678280946166
